,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-08-01,5.27,6.87,7.02,-7.752968279284067e-06,5.751533742331289e-06
2005-08-02,5.26,6.9,7.05,-7.942847000354993e-06,5.931046253626899e-06
2005-08-03,5.23,6.82,6.97,-7.7581594435527e-06,5.744170096021948e-06
2005-08-04,5.23,6.54,6.84,-7.178526841448188e-06,4.543895747599447e-06
2005-08-05,5.24,6.55,6.85,-7.167022792022791e-06,4.536894367402838e-06
2005-08-06,5.4,6.78,6.93,-6.640624999999998e-06,5.470085470085472e-06
2005-08-07,5.43,6.78,6.93,-6.480041472265422e-06,5.317338778288241e-06
2005-08-08,5.43,6.56,6.86,-6.177639536893036e-06,4.2832909245122955e-06
2005-08-09,5.44,6.85,7.0,-6.7287784679089e-06,5.56405028882093e-06
2005-08-10,5.39,6.69,6.99,-6.9553121196313705e-06,4.8844716275908945e-06
2005-08-11,5.4,6.87,7.02,-7.0312499999999956e-06,5.854700854700856e-06
2005-08-12,5.3,6.83,6.98,-7.4074074074074126e-06,5.428329092451229e-06
2005-08-13,5.4,6.84,6.99,-6.901041666666663e-06,5.726495726495725e-06
2005-08-14,5.4,6.84,6.99,-6.901041666666663e-06,5.726495726495725e-06
2005-08-15,5.42,6.75,6.95,-6.619937694704048e-06,5.240286298568511e-06
2005-08-16,5.4,6.83,6.98,-6.857638888888887e-06,5.1767676767676806e-06
2005-08-17,5.42,6.77,6.92,-6.4901349948078894e-06,5.325494205862308e-06
2005-08-18,5.43,6.82,6.97,-6.6528425781924985e-06,5.385920271416458e-06
2005-08-19,5.43,6.76,6.91,-6.393640919301884e-06,5.232261357835629e-06
2005-08-20,5.44,6.79,6.89,-6.254313319530709e-06,5.3092082908596674e-06
2005-08-21,5.44,6.79,6.89,-6.254313319530709e-06,5.3092082908596674e-06
2005-08-22,5.25,6.6,6.9,-7.333333333333333e-06,4.700854700854697e-06
2005-08-23,5.44,6.76,6.91,-6.340579710144925e-06,5.181787291879033e-06
2005-08-24,5.24,6.52,6.82,-7.033475783475783e-06,4.408491696627289e-06
2005-08-25,5.24,6.54,6.84,-7.122507122507121e-06,4.494093477144326e-06
2005-08-26,5.41,6.7,6.9,-6.456924943664411e-06,5.0776583034647565e-06
2005-08-27,5.41,6.74,6.84,-6.196914543248395e-06,5.2483358934971896e-06
2005-08-28,5.41,6.74,6.84,-6.196914543248395e-06,5.2483358934971896e-06
2005-08-29,5.26,6.49,6.79,-6.789137380191694e-06,4.181600955794507e-06
2005-08-30,5.4,6.54,6.79,-6.032986111111108e-06,4.34560327198364e-06
2005-08-31,5.23,6.48,6.78,-6.911004102015339e-06,4.2866941015089165e-06
2005-09-01,5.21,6.53,6.78,-7.022723206298086e-06,4.600963192294465e-06
2005-09-02,5.39,6.7,6.85,-6.346722309163623e-06,5.178907721280601e-06
